Time (ms),Tendon Contraction (mm),M1 X (mm),M1Y,M2 X,M2 Y,M3 X,M3Y,M4X,M4Y
0,NaN,315.93268,193.01683,310.80414,164.90659,308.24783,102.96908,307.82516,88.478493
19.673422,NaN,315.90979,193.01904,310.79068,164.91014,308.26187,102.93694,307.82635,88.437401
39.346844,1.69646,315.86655,193.04272,310.79767,164.91983,308.30078,102.95078,307.83029,88.471634
59.020264,1.69646,315.90271,193.07018,310.82074,164.94901,308.36243,103.01679,307.89755,88.519249
78.693687,1.69646,315.91595,193.0941,310.83401,164.96268,308.36752,103.06007,307.88449,88.569229
98.367104,1.69646,315.89609,193.05351,310.8204,164.94984,308.3587,103.02256,307.8681,88.565689
118.04053,1.69646,315.88129,193.02682,310.78613,164.91998,308.24695,102.98405,307.81836,88.490524
137.71394,1.69646,315.85278,193.01617,310.76501,164.90213,308.2301,102.92796,307.80206,88.42189
157.38737,1.69646,315.88919,193.03416,310.77814,164.92671,308.24414,102.97959,307.84784,88.475784
177.06079,1.69646,315.94391,193.09424,310.8327,164.96907,308.2771,103.01659,307.83539,88.511353
196.73421,1.69646,315.86411,193.12405,310.8147,165.00487,308.31479,103.05112,307.91229,88.529747
216.40764,1.69646,315.88895,193.13185,310.81311,165.00705,308.32932,103.02532,307.896,88.538963
236.08105,1.69646,315.92178,193.09308,310.82172,164.97931,308.29126,102.99675,307.83755,88.505722
255.75447,1.69646,315.94617,193.06094,310.84906,164.94591,308.29871,102.96925,307.85641,88.444916
275.42789,1.69646,316.03558,193.00743,310.89917,164.88495,308.30145,102.94366,307.82297,88.429794
295.10132,1.69646,315.9906,192.97897,310.88235,164.86288,308.30472,102.91782,307.81766,88.446953
314.77475,1.69646,315.9473,192.96776,310.85074,164.83781,308.31244,102.92067,307.83142,88.459251
334.44815,1.69646,315.98102,192.95276,310.86115,164.83879,308.29373,102.91241,307.8291,88.442749
354.12158,1.69646,315.91141,192.96407,310.82831,164.84123,308.28162,102.92164,307.83078,88.463722
373.79501,1.69646,315.87982,193.01657,310.81085,164.89986,308.30069,102.97919,307.85696,88.512405
393.46841,1.69646,315.89273,193.08295,310.79785,164.9489,308.30096,103.04329,307.87503,88.566986
413.14185,1.69646,315.82864,193.144,310.78146,164.97379,308.30939,103.08256,307.88733,88.614998
432.81528,1.69646,315.84875,193.1432,310.78284,165.00266,308.31299,103.07361,307.88733,88.562782
452.48868,1.69646,315.87872,193.12515,310.78625,164.98567,308.28824,103.03902,307.84747,88.523491
472.16211,1.69646,315.81656,193.12552,310.75916,164.98532,308.26929,103.00177,307.80908,88.506927
491.83554,1.69646,315.90292,193.09885,310.78015,164.98659,308.27466,103.01062,307.82678,88.492554
511.50894,1.69646,315.94873,193.08484,310.81992,164.96486,308.25537,103.02285,307.80612,88.52253
531.18237,1.69646,315.85306,193.09277,310.76108,164.95724,308.27362,103.01238,307.81622,88.525963
550.85577,1.69646,315.83752,193.08363,310.75211,164.95538,308.27322,103.00628,307.8298,88.525734
570.52924,1.69646,315.83871,193.08989,310.75787,164.96631,308.27325,103.0107,307.85141,88.512314
590.20264,1.69646,315.83633,193.10846,310.77362,164.97078,308.29861,103.02762,307.88516,88.535164
609.87604,1.69646,315.84955,193.12036,310.77274,164.97559,308.31104,103.07043,307.88928,88.566818
629.5495,1.69646,315.78479,193.12357,310.75864,164.9893,308.31052,103.08057,307.88953,88.620392
649.2229,1.69646,315.74054,193.11377,310.69748,164.98138,308.27771,103.0834,307.87167,88.622414
668.8963,1.69646,315.81714,193.09222,310.7211,164.96098,308.25989,103.04841,307.8447,88.565155
688.56976,1.69646,315.77917,193.09389,310.69754,164.96223,308.2352,103.00496,307.78598,88.507256
708.24316,1.69646,315.77789,193.1277,310.69766,164.98647,308.24115,103.02587,307.83301,88.508293
727.91656,1.69646,315.80569,193.18442,310.70474,165.04266,308.25882,103.0731,307.82993,88.541092
747.59003,1.69646,315.73248,193.27351,310.70874,165.11482,308.27679,103.12444,307.86118,88.591576
767.26343,1.69646,315.8194,193.28606,310.73926,165.14986,308.29745,103.16026,307.87839,88.615768
786.93683,1.69646,315.88626,193.23599,310.78253,165.11317,308.27979,103.12701,307.84225,88.561134
806.61029,1.69646,315.86859,193.16942,310.78574,165.04366,308.26523,103.03413,307.82578,88.483917
826.28369,1.69646,315.93866,193.07561,310.82281,164.96414,308.24481,102.94465,307.80283,88.410454
845.95709,1.69646,315.98111,193.03157,310.86179,164.91017,308.27023,102.91592,307.81662,88.381027
865.63055,1.69646,316.00232,193.00174,310.90192,164.87833,308.32779,102.90218,307.84677,88.405922
885.30396,1.69646,316.08701,192.95293,310.96558,164.84297,308.33606,102.90167,307.87326,88.410133
904.97736,1.69646,316.07446,192.92365,310.9617,164.8103,308.33237,102.87016,307.83414,88.396187
924.65082,1.69646,316.05035,192.90651,310.93878,164.78455,308.31485,102.82595,307.83569,88.346634
944.32422,1.69646,316.08322,192.91635,310.94901,164.77583,308.29892,102.81171,307.82291,88.307846
963.99762,1.69646,316.13242,192.94603,311.01242,164.80074,308.34708,102.82226,307.85172,88.316048
983.67108,1.69646,316.2244,192.94821,311.09778,164.83234,308.40793,102.82734,307.90225,88.3274
1003.3445,1.69646,316.31277,192.94534,311.16129,164.81007,308.41617,102.80138,307.86038,88.268219
1023.0179,1.69646,316.2663,192.89757,311.10654,164.77307,308.37073,102.74247,307.84244,88.144089
1042.6913,9.1386662,316.14301,192.86848,311.0079,164.75099,308.28201,102.69315,307.80292,88.100243
1062.3647,6.9363761,316.06241,192.89909,310.95148,164.78444,308.27676,102.71758,307.79471,88.138229
1082.0382,9.1497087,316.10745,192.96739,310.98322,164.84178,308.31015,102.79995,307.81537,88.277618
1101.7115,10.401489,316.17514,193.03835,311.02502,164.93359,308.35825,102.88517,307.87717,88.333839
1121.385,4.1043677,316.15805,193.04927,311.02597,164.93398,308.36758,102.8938,307.88461,88.326126
1141.0585,9.134737,316.09802,193.04083,310.9769,164.92183,308.3555,102.83981,307.85431,88.265846
1160.7318,5.2605562,316.03238,193.03409,310.93405,164.88486,308.33978,102.8064,307.84494,88.200745
1180.4053,6.6779814,316.05304,193.00967,310.97073,164.8629,308.36554,102.80889,307.88483,88.239349
1200.0787,6.3739328,315.95947,193.06786,311.02826,164.87546,308.21753,102.79179,307.59433,88.221397
1219.7521,15.010885,315.62888,193.16322,310.88849,164.91093,308.06387,102.76998,307.39972,88.203453
1239.4255,12.739989,315.72238,193.11565,310.9252,164.87163,308.07468,102.71636,307.51291,88.160042
1259.099,3.3601727,315.68893,193.14418,310.91183,164.87152,308.02078,102.67554,307.42578,88.025238
1278.7723,13.803352,315.61603,193.25479,310.91504,164.95877,308.04144,102.68401,307.52826,88.018578
1298.4458,0.45166805,315.89954,193.28214,311.03583,165.02979,308.0401,102.72396,307.41568,88.037643
1318.1193,11.758944,315.64532,193.46526,310.96738,165.15558,308.17545,102.8138,307.5694,88.114784
1337.7926,3.8326774,315.60526,193.47498,310.93289,165.17229,308.25729,102.83212,307.73782,88.095406
1357.4661,14.650341,315.73077,193.39885,310.9704,165.12408,308.16415,102.74247,307.5787,88.012192
1377.1395,1.1741732,315.49045,193.36278,310.84821,165.0656,308.19785,102.70841,307.75449,87.97802
1396.8129,12.237997,315.41202,193.3212,310.76312,165.03702,308.25836,102.68768,307.8364,87.996483
1416.4863,5.8820925,315.93253,192.97316,310.93704,164.8502,308.27036,102.78057,307.88461,88.1315
