Time (ms),Tendon Contraction (mm),M1 X (mm),M1Y,M2 X,M2 Y,M3 X,M3Y,M4X,M4Y
0,6.4716806,380.85294,164.98775,374.01257,141.13834,370.61362,64.061981,374.16751,40.635654
16.719612,6.4716806,380.88037,164.9693,374.02142,141.13,370.58813,64.025391,374.17603,40.620361
33.439224,6.4716806,380.85495,164.97543,374.02069,141.09537,370.59851,64.003387,374.16693,40.612831
50.158836,6.4716806,380.86725,164.96779,374.00662,141.07188,370.58524,63.967346,374.15091,40.591877
66.878448,6.4716806,380.87949,164.93558,373.99771,141.05493,370.58423,63.964443,374.15894,40.601078
83.598061,6.4716806,380.87009,164.9189,373.9982,141.04886,370.57254,63.977058,374.14493,40.581631
100.31767,6.4716806,380.86554,164.91714,374.03009,141.01888,370.58899,63.913353,374.12799,40.54488
117.03728,6.4716806,380.89868,164.89478,374.03333,141.02116,370.58185,63.927708,374.12701,40.52243
133.7569,6.4716806,380.91171,164.88718,374.00986,141.00267,370.57721,63.917233,374.11789,40.538143
150.4765,6.4716806,380.89728,164.88939,374.02893,141.00107,370.57275,63.923771,374.11816,40.535164
167.19612,6.4716806,380.88214,164.89883,374.03851,141.03703,370.59283,63.906586,374.14624,40.577862
183.91573,6.4716806,380.87674,164.91064,374.01617,141.05592,370.56155,63.969986,374.14044,40.564693
200.63535,6.4716806,380.88089,164.93814,374.0257,141.06044,370.57312,63.970261,374.1362,40.571735
217.35495,6.4716806,380.87735,164.94566,373.99921,141.07336,370.56461,63.976227,374.12653,40.596859
234.07457,6.4716806,380.87204,164.94821,374.00568,141.07521,370.56937,63.979481,374.12164,40.606792
250.79417,6.4716806,380.86243,164.95715,374.00201,141.06969,370.57581,63.997528,374.13232,40.624119
267.51379,6.4716806,380.8378,164.99666,373.99744,141.12065,370.56467,64.022209,374.13174,40.653656
284.2334,6.4716806,380.84671,164.98473,373.99136,141.12894,370.58286,64.058113,374.11279,40.667782
300.953,6.4716806,380.85464,165.01543,373.98996,141.15457,370.58035,64.05407,374.12799,40.697144
317.67264,6.4716806,380.8429,165.0085,373.99155,141.16969,370.56509,64.074203,374.1235,40.717335
334.39224,6.4716806,380.84467,165.02382,374.00037,141.16473,370.58008,64.074493,374.12289,40.706039
351.11185,6.4716806,380.84427,165.033,373.98492,141.17772,370.56915,64.072815,374.13446,40.714859
367.83145,6.4716806,380.82413,165.02789,373.9834,141.17284,370.58737,64.074104,374.12823,40.703556
384.55109,6.4716806,380.83636,165.02121,373.97641,141.15742,370.57755,64.074272,374.12869,40.711338
401.27069,6.4716806,380.85803,165.00868,374.01843,141.14575,370.58514,64.087135,374.11035,40.711166
417.9903,6.4716806,380.85818,165.00291,374.0062,141.14807,370.58624,64.069641,374.14001,40.697613
434.7099,6.4716806,380.85464,165.02951,373.99603,141.15074,370.56992,64.062225,374.13861,40.700905
451.42953,6.4716806,380.8595,165.00177,374.00314,141.14612,370.56381,64.057274,374.13733,40.686268
468.14914,6.4716806,380.85037,165.00995,374.00351,141.14735,370.58511,64.047348,374.14349,40.680614
484.86874,6.4716806,380.85947,164.99777,373.99902,141.15022,370.60016,64.058838,374.1582,40.668896
501.58835,6.4716806,380.87598,164.99571,374.00128,141.15208,370.59189,64.025238,374.13989,40.648933
518.30798,6.4716806,380.8602,165.00478,374.0022,141.12886,370.57831,64.043503,374.15182,40.650475
535.02759,6.4716806,380.88019,164.97852,374.00064,141.13614,370.60471,64.034081,374.16995,40.627197
551.74719,6.4716806,380.8685,164.98959,374.00638,141.11874,370.57635,64.042633,374.13937,40.64254
