Time (ms),Tendon Contraction (mm),M1 X (mm),M1Y,M2 X,M2 Y,M3 X,M3Y,M4X,M4Y,Markers from bottom to top
0,NaN,368.23172,156.99826,362.47589,130.68279,357.85278,48.701622,359.88144,23.974285,
16.666666,NaN,368.26471,156.98972,362.48895,130.67313,357.8584,48.654438,359.88495,23.953421,
33.333332,NaN,368.24451,156.96907,362.48645,130.64825,357.87198,48.635612,359.90564,23.941671,
50,NaN,368.25665,156.96434,362.48367,130.64259,357.85001,48.635288,359.91348,23.930433,
66.666664,NaN,368.24451,156.94286,362.48575,130.62396,357.83752,48.624908,359.89142,23.910677,
83.333336,NaN,368.24594,156.93994,362.49643,130.63245,357.83221,48.61655,359.86618,23.931345,
100,NaN,368.20129,156.93866,362.49075,130.6441,357.8392,48.628197,359.90213,23.943768,
116.66666,NaN,368.22333,156.95451,362.49619,130.66495,357.8678,48.666294,359.91132,23.934494,
133.33333,NaN,368.2182,156.97087,362.45871,130.68854,357.87109,48.666145,359.9093,23.922312,
150,NaN,368.21875,156.98479,362.47592,130.71327,357.86615,48.696423,359.90237,23.89241,
166.66667,NaN,368.20068,156.95618,362.48325,130.75897,357.87036,48.754868,359.90945,23.893278,
183.33333,NaN,368.16373,156.99922,362.46289,130.80563,357.87701,48.759289,359.90811,23.901991,
200,NaN,368.15738,157.04106,362.47079,130.85983,357.91269,48.843472,359.95068,23.915121,
216.66667,NaN,368.1662,157.06027,362.47321,130.90445,357.92007,48.902561,359.97284,23.938709,
233.33333,NaN,368.14648,157.06813,362.47971,130.95374,357.9227,48.944492,359.97202,23.917479,
250,NaN,368.13669,157.07047,362.4563,130.98384,357.91089,48.986362,359.95917,23.906567,
266.66666,NaN,368.11142,157.08517,362.43225,131.02507,357.91763,49.02845,359.91245,23.919127,
283.33334,NaN,368.11194,157.09682,362.44412,131.06328,357.92184,49.047604,359.96277,23.914396,
300,NaN,368.09155,157.10327,362.42496,131.09634,357.91513,49.091347,359.991,23.929808,
316.66666,NaN,368.09317,157.10683,362.40182,131.10274,357.91818,49.097134,359.98383,23.931786,
333.33334,NaN,368.06866,157.09567,362.41284,131.09436,357.92081,49.098324,359.98615,23.916212,
350,NaN,368.08093,157.08577,362.40784,131.09505,357.91733,49.0835,359.97189,23.923407,
366.66666,NaN,368.07733,157.06183,362.40598,131.08813,357.91711,49.098351,359.99353,23.931192,
383.33334,NaN,368.06854,157.05893,362.42188,131.09778,357.95181,49.072414,360.01563,23.911621,
400,NaN,368.04596,157.05089,362.40903,131.06003,357.95212,49.052902,360.0163,23.874939,
416.66666,NaN,368.04312,157.03067,362.41824,131.049,357.95703,49.022686,360.01822,23.829517,
433.33334,NaN,367.93304,157.00078,362.31351,131.0508,357.96402,48.986679,360.00354,23.794668,
450,NaN,367.67136,157.08202,362.17239,131.06224,357.99503,48.937778,360.0415,23.783052,
466.66666,NaN,367.25772,157.16469,361.98969,131.09152,358.09433,48.933357,360.22595,23.79137,
483.33334,NaN,366.94174,157.22443,361.80179,131.12813,358.18878,48.954601,360.4212,23.793629,
500,8.93E-15,367.00635,157.01593,361.77023,131.02597,358.33212,49.104839,360.6955,23.979433,
516.66669,3.560471674,368.00214,156.33678,361.96494,130.80777,358.72711,49.494949,361.73163,24.448101,
533.33331,7.278022981,370.4595,154.66888,362.4599,130.31618,359.38669,50.18568,364.00494,25.657175,
550,10.83849466,373.13638,152.81956,363.10339,129.78276,360.23407,50.93819,366.96893,27.376156,
566.66669,14.55604596,375.38492,150.95569,363.65424,129.30101,361.13025,51.665237,369.54504,29.077475,
583.33331,18.27359727,376.94891,149.2596,363.95166,128.89986,361.76123,52.350918,371.68381,30.781075,
600,18.54480263,378.16449,147.49071,364.06161,128.56792,362.23026,52.924316,373.67581,32.709232,
616.66669,18.5552537,379.17255,145.7739,364.06299,128.21118,362.96817,53.532475,375.56708,34.640717,
