Time (ms),Tendon Contraction (mm),M1 X (mm),M1Y,M2 X,M2 Y,M3 X,M3Y,M4X,M4Y
0,0,333.90558,168.04053,329.55084,146.81335,331.14767,73.042511,333.68942,46.489552
16.666666,0,333.5192,168.06064,329.40292,146.80399,331.17078,73.017349,333.74622,46.4412
33.333332,0,333.36649,168.00656,329.35651,146.74892,331.28601,72.972824,333.97614,46.369473
50,0,333.60611,167.87299,329.48483,146.68791,331.36047,72.946175,334.13724,46.389549
66.666664,0,334.0322,167.8333,329.62158,146.73254,331.31244,73.089561,334.04785,46.504314
83.333336,0,334.1059,167.882,329.62122,146.84418,331.20648,73.304001,333.79196,46.669353
100,0,333.74451,168.01147,329.47522,146.96779,331.15085,73.432228,333.67084,46.806515
116.66666,0,333.24243,168.02231,329.30048,146.96886,331.22845,73.479851,333.84976,46.859451
133.33333,0,333.24905,167.88673,329.26099,146.8708,331.37674,73.496033,334.20145,46.895214
150,0,333.69131,167.76852,329.46603,146.82297,331.42487,73.492096,334.31613,46.897892
166.66667,0,333.99313,167.74672,329.59192,146.88177,331.30576,73.582405,334.00757,46.945839
183.33333,0,333.8981,167.83763,329.53955,146.96455,331.14914,73.700401,333.68115,46.984135
200,0,333.48785,167.91577,329.3613,146.9751,331.14899,73.675171,333.70834,46.988266
216.66667,0,333.2131,167.8739,329.24054,146.86798,331.2923,73.564919,334.0246,46.902306
233.33333,0,333.37823,167.78014,329.35452,146.79819,331.38333,73.4048,334.276,46.735111
250,0,333.74985,167.71126,329.47739,146.74263,331.30878,73.283279,334.13187,46.645329
266.66666,0,333.99802,167.83151,329.57629,146.78993,331.19025,73.281929,333.78729,46.625786
283.33334,0,333.80188,167.9756,329.50937,146.90314,331.11172,73.273216,333.60654,46.657898
300,0,333.43112,168.07277,329.28171,146.8963,331.15475,73.258133,333.75995,46.592274
316.66666,0,333.22934,168.06265,329.23657,146.84818,331.24844,73.151367,334.0253,46.551903
333.33334,0,333.41098,168.01419,329.3269,146.78764,331.27103,73.028107,334.08246,46.44331
350,0,333.6983,168.02365,329.41702,146.80283,331.17728,73.027397,333.88406,46.417294
366.66666,0,333.83456,168.09973,329.43457,146.87497,331.09866,73.093277,333.67685,46.457363
383.33334,0,333.68408,168.1689,329.36401,146.9218,331.09039,73.140785,333.65591,46.509392
400,0,333.33755,168.18561,329.23734,146.93266,331.142,73.121613,333.7702,46.461571
416.66666,0,333.23218,168.0744,329.27338,146.83237,331.20468,73.013931,333.9556,46.379219
433.33334,0,333.48557,167.98753,329.33163,146.76515,331.19995,72.983551,333.96927,46.343086
450,0,333.80515,167.93919,329.42548,146.75729,331.1405,73.013489,333.81046,46.36731
466.66666,0,333.81927,167.97038,329.43295,146.82083,331.0733,73.128197,333.66809,46.398449
483.33334,0,333.49258,168.03198,329.27069,146.84564,331.05353,73.134865,333.64285,46.44315
500,0,333.16248,168.00871,329.15219,146.80182,331.13818,73.105675,333.81638,46.414783
516.66669,0,333.17831,167.93181,329.18289,146.74243,331.17584,73.089386,334.01379,46.373474
533.33331,0,333.51065,167.89224,329.29541,146.75931,331.16321,73.089951,333.96307,46.374668
550,0,333.71964,167.90211,329.35635,146.7991,331.10318,73.191574,333.74069,46.440441
566.66669,0,333.66656,168.05858,329.32285,146.8833,331.02786,73.280548,333.63123,46.556114
583.33331,0,333.34348,168.07512,329.21027,146.91547,331.06308,73.272751,333.71164,46.530602
600,0,333.16257,168.02147,329.16132,146.85887,331.116,73.179214,333.85855,46.452068
616.66669,0,333.33173,167.97444,329.21011,146.81911,331.13101,73.076103,333.95621,46.376274
633.33331,0,333.60016,167.9594,329.28531,146.79869,331.08246,73.077385,333.8277,46.354927
650,0,333.72159,168.03287,329.36057,146.84143,331.0545,73.144691,333.63654,46.388512
666.66669,0,333.62292,168.12332,329.30807,146.89452,331.06073,73.161346,333.66168,46.444138
683.33331,0,333.38763,168.13748,329.2742,146.88155,331.1282,73.091599,333.80826,46.411751
700,0,333.40823,168.05962,329.27478,146.81494,331.17029,73.033348,333.92545,46.316223
716.66669,0,333.56741,167.99832,329.35071,146.75963,331.13611,72.999741,333.86597,46.28754
733.33331,0,333.76443,167.97653,329.39108,146.77106,331.10089,73.008286,333.73599,46.272469
750,0,333.7634,167.98988,329.40466,146.79137,331.09445,73.031319,333.68967,46.300133
766.66669,0,333.51855,168.01073,329.32159,146.81569,331.11108,73.119255,333.76657,46.3461
783.33331,0,333.30264,167.9863,329.24655,146.80867,331.11618,73.114899,333.83792,46.349339
800,0,333.30515,167.98273,329.22995,146.81874,331.12607,73.174713,333.86774,46.399384
816.66669,0,333.55469,167.93285,329.32065,146.83266,331.10928,73.181351,333.84097,46.431133
833.33331,0,333.71902,167.96544,329.35376,146.83946,331.08963,73.232231,333.77927,46.454342
850,0,333.58682,167.97993,329.28104,146.86812,331.06244,73.269577,333.72366,46.474651
866.66669,0,333.28839,167.98927,329.19174,146.86584,331.07602,73.24279,333.75,46.449455
883.33331,0,333.22638,167.99777,329.1402,146.80882,331.10062,73.188255,333.867,46.401478
900,0,333.37225,167.98701,329.23279,146.79269,331.12372,73.150017,333.93051,46.37191
916.66669,0,333.58069,167.96536,329.25494,146.82195,331.06802,73.110733,333.8038,46.364086
933.33331,0,333.55441,168.02711,329.27499,146.8053,331.01932,73.074661,333.63043,46.317146
950,0,333.40509,168.06787,329.2222,146.80446,331.01215,73.024475,333.63123,46.235603
966.66669,0,333.29828,168.06215,329.18182,146.78819,331.09033,72.92971,333.75906,46.198719
983.33331,0,333.4097,168.07921,329.22421,146.77635,331.10721,72.915268,333.85257,46.183369
1000,0,333.52057,168.10869,329.30637,146.78831,331.05078,72.920235,333.8129,46.193806
1016.6667,0,333.53156,168.11893,329.28662,146.80728,331.01981,72.93206,333.66882,46.213562
1033.3334,0,333.44064,168.12912,329.2579,146.80226,331.03601,72.950523,333.58737,46.170685
1050,0,333.38058,168.11469,329.24683,146.80594,331.07568,72.966263,333.73944,46.223919
1066.6666,0,333.48361,168.08878,329.27814,146.81186,331.15512,72.991516,333.88464,46.236198
1083.3334,0,333.61237,168.0567,329.36081,146.83621,331.13757,73.077774,333.86639,46.305965
1100,0,333.74985,168.02983,329.43082,146.86246,331.091,73.132965,333.74191,46.376511
1116.6666,0,333.71246,167.97037,329.43024,146.84453,331.09995,73.233498,333.70984,46.412983
1133.3334,0,333.63953,167.92049,329.41815,146.83084,331.17419,73.264122,333.7991,46.457115
1150,0,333.60516,167.85057,329.43671,146.82126,331.23563,73.313904,333.93549,46.524574
1166.6666,0,333.60999,167.87766,329.30209,146.85196,331.26071,73.379959,333.88004,46.541344
1183.3334,0.58643061,333.05136,168.08235,329.04874,147.00377,331.32782,73.460274,334.005,46.584721
1200,5.497787,332.36365,168.29121,328.56369,147.14537,331.34445,73.495506,334.23312,46.698551
1216.6666,10.409143,331.88715,168.28734,328.05078,147.15657,331.26956,73.73632,334.50345,46.982586
1233.3334,15.247196,332.56339,167.66064,327.82718,146.98494,331.06052,74.303268,335.41089,48.028511
1250,17.606916,335.48746,166.30655,328.18091,146.67375,330.86346,75.196037,337.26321,49.950329
1266.6666,17.632837,338.74301,164.34241,328.71927,146.27039,330.77518,76.242706,339.51373,52.387203
1283.3334,17.658758,341.13019,162.57761,328.88687,146.01418,330.5463,77.097633,340.90253,54.604622
1300,17.684679,341.90323,161.3045,328.62646,145.84659,330.24313,77.731804,341.80991,56.57407
1316.6666,17.7106,342.55222,159.75667,327.86438,145.61472,330.0614,78.265793,343.189,58.951778
1333.3334,17.736519,342.77136,158.4641,327.20642,145.35704,330.1301,78.669456,344.49661,61.055378
1350,17.76244,343.18698,157.14537,326.78314,145.15648,330.20236,79.026237,345.52332,63.140907
1366.6666,17.788361,343.86285,155.71931,326.49429,144.88905,330.12204,79.397064,346.17511,65.200798
1383.3334,17.814281,344.57938,154.37968,326.45609,144.61919,329.71317,79.544029,346.14008,66.574669
1400,17.840202,344.96741,153.82851,326.53625,144.45471,329.10629,79.153961,345.57898,66.633415
1416.6666,17.866123,344.55859,154.10651,326.35574,144.4646,328.27979,78.512482,344.39105,65.647324
1433.3334,17.892044,344.44452,154.10168,326.23059,144.35475,328.01657,77.987274,344.08887,65.259163
1450,16.336283,344.55289,154.13347,326.3501,144.21457,328.17975,77.452179,344.2063,64.857803
1466.6666,12.93289,343.74533,155.72086,326.32938,144.51128,327.96613,76.40419,343.56976,62.828724
1483.3334,9.3724184,341.32291,158.83705,325.74994,145.17256,326.70068,74.740273,340.9021,58.859329
1500,5.9690261,338.31458,161.82573,324.78766,145.8242,324.94644,73.165909,336.85727,54.578232
1516.6666,2.565634,335.64426,164.19861,324.17404,146.17325,323.47021,71.977753,333.12231,51.211353
1533.3334,0.3043094,333.7323,165.89922,323.86407,146.47102,322.61334,71.321678,330.41763,49.17033
1550,0.27838865,332.75885,166.78294,323.81653,146.69925,322.42145,71.346886,329.38873,48.506195
1566.6666,0.25246793,332.96661,166.97221,323.9335,146.83255,322.82376,71.686142,329.86588,48.675327
1583.3334,0.2265472,332.92697,167.14311,323.94464,146.99451,323.34326,72.043831,330.6481,49.036701
1600,0.20062646,332.21371,167.56749,323.80661,147.25418,323.54062,72.259697,330.67096,49.052357
1616.6666,0.17470573,331.61765,167.9641,323.62289,147.43459,323.44592,72.373871,330.35605,49.017174
1633.3334,0.148785,331.49216,168.11339,323.55148,147.52975,323.45886,72.508049,330.3049,49.017517
1650,0.12286427,331.63593,168.11839,323.70285,147.58037,323.59613,72.593567,330.31616,49.003605
1666.6666,0.096943535,331.62051,168.16631,323.7377,147.59122,323.69803,72.675156,330.33008,49.006889
1683.3334,0.071022801,331.58102,168.157,323.66339,147.5266,323.69675,72.60218,330.32324,48.900238
1700,0.045102071,331.25928,168.16425,323.58139,147.384,323.67706,72.415985,330.1593,48.624691
1716.6666,0.019181341,330.99216,168.18001,323.47668,147.28448,323.57791,72.174606,329.89676,48.345997
1733.3334,1.3927728,330.80582,168.26721,323.27896,147.21431,323.56348,71.959801,329.83765,48.118649
